"","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","ICD9.CODE.FRMT"
"1","     ","0  ","No PROC          ","""INVALID CODES IN USER DATA""",""
"2","0101 ","1  ","Inc/exc CNS      ","""CISTERNAL PUNCTURE""","01.01"
"3","0109 ","1  ","Inc/exc CNS      ","""CRANIAL PUNCTURE NEC""","01.09"
"4","0121 ","1  ","Inc/exc CNS      ","""CRANIAL SINUS I & D""","01.21"
"5","0122 ","1  ","Inc/exc CNS      ","""REMOV INTRACRAN STIMULAT""","01.22"
"6","0123 ","1  ","Inc/exc CNS      ","""REOPEN CRANIOTOMY SITE""","01.23"
"7","0124 ","1  ","Inc/exc CNS      ","""OTHER CRANIOTOMY""","01.24"
"8","0125 ","1  ","Inc/exc CNS      ","""OTHER CRANIECTOMY""","01.25"
"9","0126 ","1  ","Incision and     ","""INS CATH-CRANIAL CAVITY (Begin 2005)""","01.26"
"10","0127 ","1  ","Incision and     ","""REM CATH-CRANIAL CAVITY (Begin 2005)""","01.27"
"11","0128 ","1  ","Inc/exc CNS      ","""INTRACEREB CTH-BURR HOLE (Begin 2006)""","01.28"
"12","0131 ","1  ","Inc/exc CNS      ","""INCISE CEREBRAL MENINGES""","01.31"
"13","0132 ","1  ","Inc/exc CNS      ","""LOBOTOMY & TRACTOTOMY""","01.32"
"14","0139 ","1  ","Inc/exc CNS      ","""OTHER BRAIN INCISION""","01.39"
"15","0141 ","1  ","Inc/exc CNS      ","""THALAMUS OPERATIONS""","01.41"
"16","0142 ","1  ","Inc/exc CNS      ","""GLOBUS PALLIDUS OPS""","01.42"
"17","0151 ","1  ","Inc/exc CNS      ","""EX CEREB MENINGEAL LES""","01.51"
"18","0152 ","1  ","Inc/exc CNS      ","""HEMISPHERECTOMY""","01.52"
"19","0153 ","1  ","Inc/exc CNS      ","""BRAIN LOBECTOMY""","01.53"
"20","0159 ","1  ","Inc/exc CNS      ","""OTHER BRAIN EXCISION""","01.59"
"21","0231 ","2  ","Extcrn shunt     ","""VENTRICL SHUNT-HEAD/NECK""","02.31"
"22","0232 ","2  ","Extcrn shunt     ","""VENTRI SHUNT-CIRCULA SYS""","02.32"
"23","0233 ","2  ","Extcrn shunt     ","""VENTRICL SHUNT-THORAX""","02.33"
"24","0234 ","2  ","Extcrn shunt     ","""VENTRICL SHUNT-ABDOMEN""","02.34"
"25","0235 ","2  ","Extcrn shunt     ","""VENTRI SHUNT-UNINARY SYS""","02.35"
"26","0239 ","2  ","Extcrn shunt     ","""OTHER VENTRICULAR SHUNT""","02.39"
"27","0242 ","2  ","Extcrn shunt     ","""REPLACE VENTRICLE SHUNT""","02.42"
"28","0243 ","2  ","Extcrn shunt     ","""REMOVE VENTRICLE SHUNT""","02.43"
"29","0302 ","3  ","Laminectomy      ","""REOPEN LAMINECTOMY SITE""","03.02"
"30","0309 ","3  ","Laminectomy      ","""SPINAL CANAL EXPLOR NEC""","03.09"
"31","805  ","3  ","Laminectomy      ","""EXCIS DESTR VERTEB DISC (Begin 1980 End 1986)""","80.5"
"32","8050 ","3  ","Laminectomy      ","""EXC/DEST INTVRT DISC NOS (Begin 1986)""","80.50"
"33","8051 ","3  ","Laminectomy      ","""EXCISION INTERVERT DISC (Begin 1986)""","80.51"
"34","8059 ","3  ","Laminectomy      ","""OTH EXC/DEST INTVRT DISC (Begin 1986)""","80.59"
"35","8459 ","3  ","Laminectomy      ","""INSERT OTHR SPIN DEVICE (Begin 2004)""","84.59"
"36","8460 ","3  ","Laminectomy      ","""INSERT DISC PROS NOS (Begin 2004)""","84.60"
"37","8461 ","3  ","Laminectomy      ","""INS PART DISC PROS CERV (Begin 2004)""","84.61"
"38","8462 ","3  ","Laminectomy      ","""INS TOT DISC PROST CERV (Begin 2004)""","84.62"
"39","8463 ","3  ","Laminectomy      ","""INS SPIN DISC PROS THOR (Begin 2004)""","84.63"
"40","8464 ","3  ","Laminectomy      ","""INS PART DISC PROS LUMB (Begin 2004)""","84.64"
"41","8465 ","3  ","Laminectomy      ","""INS TOTL DISC PROS LUMB (Begin 2004)""","84.65"
"42","8466 ","3  ","Laminectomy      ","""REVISE DISC PROST CERV (Begin 2004)""","84.66"
"43","8467 ","3  ","Laminectomy      ","""REVISE DISC PROST THORA (Begin 2004)""","84.67"
"44","8468 ","3  ","Laminectomy      ","""REVISE DSIC PROSTH LUMB (Begin 2004)""","84.68"
"45","8469 ","3  ","Laminectomy      ","""REVISE DISC PROSTH NOS (Begin 2004)""","84.69"
"46","8480 ","3  ","Laminectomy      ","""INS/REPL INTERSPINE DEV (Begin 2007)""","84.80"
"47","8481 ","3  ","Laminectomy      ","""REV INTERSPINE DEVICE (Begin 2007)""","84.81"
"48","8482 ","3  ","Laminectomy      ","""INS/REPL PDCL STABIL DEV (Begin 2007)""","84.82"
"49","8483 ","3  ","Laminectomy      ","""REV PEDCL DYN STABIL DEV (Begin 2007)""","84.83"
"50","8484 ","3  ","Laminectomy      ","""INS/REPL FACET REPLC DEV (Begin 2007)""","84.84"
"51","8485 ","3  ","Laminectomy      ","""REV FACET REPLACE DEVICE (Begin 2007)""","84.85"
"52","0331 ","4  ","Dx spinaltap     ","""SPINAL TAP""","03.31"
"53","038  ","5  ","Inject spine     ","""DESTR INJECT-SPINE CANAL""","03.8"
"54","0390 ","5  ","Inject spine     ","""INSERT SPINAL CANAL CATH (Begin 1987)""","03.90"
