
"Drug Catalog","Generic Drug Name",
"5-alpha-reductase inhibitors","dutasteride",
"5-alpha-reductase inhibitors","dutasteride-tamsulosin",
"5-alpha-reductase inhibitors","finasteride",
"5-aminosalicylates","balsalazide",
"5-aminosalicylates","mesalamine",
"5-aminosalicylates","olsalazine",
"5-aminosalicylates","sulfaSALAzine",
"5HT3 receptor antagonists","dolasetron",
"5HT3 receptor antagonists","granisetron",
"5HT3 receptor antagonists","ondansetron",
"5HT3 receptor antagonists","palonosetron",
"ACE inhibitors with calcium channel blocking agents","amLODIPine-benazepril",
"ACE inhibitors with calcium channel blocking agents","amLODIPine-perindopril",
"ACE inhibitors with calcium channel blocking agents","diltiazem-enalapril",
"ACE inhibitors with calcium channel blocking agents","enalapril-felodipine",
"ACE inhibitors with calcium channel blocking agents","trandolapril-verapamil",
"ACE inhibitors with thiazides","benazepril-hydrochlorothiazide",
"ACE inhibitors with thiazides","captopril-hydrochlorothiazide",
"ACE inhibitors with thiazides","enalapril-hydrochlorothiazide",
"ACE inhibitors with thiazides","fosinopril-hydrochlorothiazide",
"ACE inhibitors with thiazides","hydrochlorothiazide-lisinopril",
"ACE inhibitors with thiazides","hydrochlorothiazide-moexipril",
"ACE inhibitors with thiazides","hydrochlorothiazide-quinapril",
"adamantane antivirals","amantadine",
"adamantane antivirals","rimantadine",
"adrenal cortical steroids","betamethasone",
"adrenal cortical steroids","budesonide",
"adrenal cortical steroids","corticorelin",
"adrenal cortical steroids","corticotropin",
"adrenal cortical steroids","cortisone",
"adrenal cortical steroids","cosyntropin",
"adrenal cortical steroids","dexamethasone",
"adrenal cortical steroids","dexamethasone-lidocaine",
"adrenal cortical steroids","fludrocortisone",
"adrenal cortical steroids","hydrocortisone",
"adrenal cortical steroids","methylPREDNISolone",
"adrenal cortical steroids","prednisoLONE",
"adrenal cortical steroids","predniSONE",
"adrenal cortical steroids","triamcinolone",
"adrenal corticosteroid inhibitors","aminoglutethimide",
"adrenal corticosteroid inhibitors","metyrapone",
"adrenergic bronchodilators","albuterol",
"adrenergic bronchodilators","arformoterol",
"adrenergic bronchodilators","bitolterol",
"adrenergic bronchodilators","EPINEPHrine",
"adrenergic bronchodilators","formoterol",
"adrenergic bronchodilators","indacaterol",
"adrenergic bronchodilators","isoetharine",
"adrenergic bronchodilators","isoproterenol",
"adrenergic bronchodilators","levalbuterol",
"adrenergic bronchodilators","metaproterenol",
"adrenergic bronchodilators","olodaterol",
"adrenergic bronchodilators","pirbuterol",
"adrenergic bronchodilators","racepinephrine",
"adrenergic bronchodilators","salmeterol",
"adrenergic bronchodilators","terbutaline",
"agents for hypertensive emergencies","diazoxide",
"agents for hypertensive emergencies","fenoldopam",
"agents for hypertensive emergencies","nitroprusside",
"agents for hypertensive emergencies","trimethaphan camsylate",
"agents for pulmonary hypertension","ambrisentan",
"agents for pulmonary hypertension","bosentan",
"agents for pulmonary hypertension","epoprostenol",
"agents for pulmonary hypertension","iloprost",
"agents for pulmonary hypertension","macitentan",
"agents for pulmonary hypertension","sildenafil",
"agents for pulmonary hypertension","tadalafil",
"agents for pulmonary hypertension","treprostinil",
"aldosterone receptor antagonists","eplerenone",
"aldosterone receptor antagonists","spironolactone",
"alkylating agents","bendamustine",
"alkylating agents","busulfan",
"alkylating agents","CARBOplatin",
"alkylating agents","carmustine",
"alkylating agents","chlorambucil",
"alkylating agents","CISplatin",
"alkylating agents","cyclophosphamide",
"alkylating agents","dacarbazine",
"alkylating agents","ifosfamide",
"alkylating agents","ifosfamide-mesna",
"alkylating agents","lomustine",
"alkylating agents","mechlorethamine",
"alkylating agents","melphalan",
"alkylating agents","oxaliplatin",
"alkylating agents","streptozocin",
"alkylating agents","temozolomide",
"alkylating agents","thiotepa",
"alkylating agents","trabectedin",
"alkylating agents","uracil mustard",
"allergenics","mixed grass pollens allergen extract",
"allergenics","ragweed pollen allergen extract",
"allergenics","timothy grass pollen allergen extract",
"alpha-glucosidase inhibitors","acarbose",
